book_id,author_id,filename,title,authors,isbn,pages,publisher,language,description,keywords,pub_type,cover_image
cbe73134466f60d8bf1eda0f76fb8609,0,,Confessions,Thomas Docherty,9781849666770,224,Bloomsbury Academic,English,,,book,
c1c794a9b7d5ff443a75c3c320221fa6,0,,Conflict and Cooperation in Microbial Societies,Ana E. Escalante; Michael Travisano,9782889451432,119,Frontiers Media SA,English,,Microbial Interactions; cooperation; Mutualism; conflict; Antagonism,book,
8e6c3b17c867fb35ad67fc51ba0ea0fb,0,,Conflict and Resource Development in the Southern Highlands of PNG,"Haley ,Nicole; May ,Ron",9781921313462,186,ANU Press,English,,Social conflict; Integroup relations; Natural resources; Management; Papua new guinea; Southern highlands province,book,
611b5c2463871c2821cfa9dfeeb3b02c,0,,"Conflict, Security and the Reshaping of Society : The Civilization of War","Dal Lago  ,Alessandro; Palidda ,Salvatore",9780415570343,230,Taylor & Francis,English,,Critical Security; Theory & Political Sociology; War & Conflict Studies; Critical Security Studies; Social Theory; Politics; Veiligheid; Theoretische en politieke sociologie; Oorlog en conflicten studie; Veiligheidsstudie; Sociologische theorie; Politiek,book,
60f7047dc3ec2ea772a19248cb0eb4c4,0,,Conflicto social y violencia,Miriam Jimeno Santoyo (dir.),9782821844940,,Institut français d’études andines,es,,"Pérou, violence, conflits, région, XXe siècle, drogue, Colombie, mouvement social, commerce",book,
b9fbb38f6c584b9e42f7b96fe17b4af1,0,,Le conflit helléno-turc,Gilles Bertrand,9782706817274 9782362450495,,Institut français d’études anatoliennes,fr,,"Chypre, Grèce, Turquie, mer Egée, relations internationales, conflit gréco-turc, paix",book,
c81ac548fddca28727f6c064f2a4b564,0,,Conflito no Araguaia: peões e posseiros contra a grande empresa,"Esterci, Neide",9788599662549,150,SciELO Books - Centro Edelstein,PT,,HISTORY,book,
98b9053472a6aeea32d9cda916e6b644,0,,"Conflitos, eficiência e democracia na gestão pública ","Braga, Douglas Gerson",9788575412527,193,SciELO Books - Editora FIOCRUZ,PT,,"Setor público, Gestão de qualidade total",book,
35bd5af7f5ab11bc792277bac962ed89,0,,Conflits et territoires,"Patrice Melé, Corinne Larrue, Muriel Rosemberg (dir.)",9782869061811 9782869063235,,Presses universitaires François-Rabelais,fr,,"conflits urbains, conflits sociaux, urbanisme, action publique, espace public",book,
438fc5cb38a9143622de464bd3644348,0,,"Conflitti, paci e vendette nell'Italia comunale","Zorzi, Andrea",9788884534453,,Firenze University Press,Italian,,Municipality; Middle Ages; Comune; Medioevo,book,
d6e8e66a2bbf40c08e76c6d27778e5ad,0,,Confronting Fiji Futures,"Akram-Lodhi Haroon ,A. ",9781921934292,,ANU Press,English,,Fiji; Politics; Government; Post-independence,book,
80b8ee3a22c137152174728c384ffcec,0,,"Confronting the ""Good Death"" : Nazi Euthanasia on Trial, 1945-1953","Bryant ,Michael S.",9780870818097 9781607327080,288,University Press of Colorado,English,,History,book,
4e6e74962b3715a362e341b902acbc94,0,,Le Congo au temps des grandes compagnies concessionnaires 1898-1930. Tome 1,Catherine Coquery-Vidrovitch,9782713212918 9782713225666,,Éditions de l’École des hautes études en sciences sociales,fr,,"Congo, Afrique équatoriale française (AEF), Empire colonial français, Gabon, compagnies concessionnaires",book,
7e8f486a1ff70081b9d3d00e44fc493c,0,,Le Congo au temps des grandes compagnies concessionnaires 1898-1930. Tome 2,Catherine Coquery-Vidrovitch,9782713225673,,Éditions de l’École des hautes études en sciences sociales,fr,,"Congo, Afrique équatoriale française (AEF), Empire colonial français, Gabon, compagnies concessionnaires",book,
36263f5d3df3f1faf55fdc0060be6474,0,,"Conhecimento, inovação e comunicação em serviços de saúde",Francisco José Aragão Pedroza Cunha; Cristiane Pinheiro Lázaro; Hernane Borges de Barros Pereira,9788575415566,,SciELO Books - Editora FIOCRUZ,pt,,MEDICAL,book,
b260021bd2d94c98cee5b7651ae2089e,0,,"La conmemoración de la Revolución de Mayo: Prensa gráfica, historia y política, siglos XIX-XXI","Quinteros, Guillermo O.",9789503411254,248,Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación,spa,,Argentina ;  Revolución de Mayo ;  historia política ;  Siglos XIX-XXI ;  Political history ;  19th-21st Century,book,
63bafc726febc1a8fa99c3ec531e1a00,0,,La connaissance du Saint-Empire en France du baroque aux Lumières 1643-1756,"Braun, Guido",9783486719376,911,De Gruyter,French,,,book,
d866449164fb60af3a76c0c90e9cb36b,0,,La connaissance et ses raisons,"Jean-Marie Chevalier, Benoit Gaultier (dir.)",9782722604407,,Collège de France,fr,,"connaissance, croyances, épistémologie, justification, normes épistémiques, raisons",book,
a4adf5252ef5078a32d419888f381579,0,,La connaissance métaphysique,Claudine Tiercelin,9782213666396 9782722601482,,Collège de France,fr,,"connaissance, métaphysique, philosophie",book,
9330d8bfe441ba825b7925cb1ec4c351,0,,Connected and Disconnected in Viet Nam: Remaking Social Relations in a Post-socialist Nation,"Taylor ,Philip",9781925022926,,ANU Press,English,,Vietnam; post-socialism; social relations; anthropology,book,
1095ed54aadd13904d9d2bc3eaa733bc,0,,A Connected Curriculum for Higher Education,"Fung ,Dilly",9781911576358,182,UCL Press,English,,Curriculum; Higher education; UCL; Research; Education,book,
52f50332f2966e6fce5787fec0535afc,0,,Connected Sociologies,Gurminder K. Bhambra,9781472544377,192,Bloomsbury Academic,English,,,book,
4bbf8ff444fdaccf951eb6a242cd21b3,0,,Connected Worlds : History in Transnational Perspective,"Lake ,Marilyn; Curthoys ,Ann",9781920942458,278,ANU Press,English,,Transnational history; Australia,book,
e66363f521dc6789fb233a090f50f93e,0,,Connecting Canadians:  Investigations in Community Informatics,"Andrew Clement, Michael Gurstein, Graham Longford, Marita Moll, and Leslie Regan Shade",9781926836041 9781926836058 9781926836423,519,Athabasca University Press,English,,informatics; networking; community,book,
2534c1e9e831fb76ba51e39e704d77eb,0,,Connecting Grammaticalisation,"Nørgård-Sørensen ,Jens; Heltoft ,Lars; Schøsler ,Lene",9789027215758 9789027284136,361,John Benjamins Publishing Company,English,,Linguistics,book,
73427e2c379a0049348492bd596140d9,0,,Connecting the Nation: A short thematic history of Australian civil aviation,Paul Ashton; Tracy Ireland; Jaya Keaney; Alison Wain; Mitchell Whitelaw,9780994503954,140,UTS ePRESS,English,,Aviation;  Civil Aviation;  Australia;  Aviation History,book,
1454da3500298fc1f474721c8a6ad92e,0,,Conquering the Highlands : A history of the afforestation of the Scottish uplands,"Oosthoek ,Jan",9781922144782,,ANU Press,English,,Ecology; Deforestation; Scotland,book,
c39396c29571bba7e64af77250c85446,0,,La conquête de l’Amérique espagnole et la question du droit,Carmen Val Julián (dir.),9782902126255 9782847884401,,ENS Éditions,fr,,"évangélisation, controverse religieuse, Église catholique, colonisation, droit international, droit de conquête, Empire espagnol, indiens d'Amérique",book,
fef3a04ee5562a4195fdf6838eb71342,0,,La conquista negociada,Marina Zuloaga Rada,9789972513534 9782821844285,,Institut français d’études andines,es,,"conquête espagnole, Pérou, époque coloniale, administration coloniale, pouvoir, encomienda, cacique, ethnologie",book,
efc9ede8b4edfc681c6189f4ece92582,0,,The Conscience of Cinema,"Waugh ,Thomas",9789048525256,500,Amsterdam University Press,English,,Media and Communications; Film Theory and Criticism,book,
dd7efef7b997209ab6fe6c9899dd3764,0,,The Conscience of Cinema,"Waugh ,Thomas",9789089647535,,Amsterdam University Press,,,Joris Ivens; documentary; left; cinema; twentieth century,book,
628d39d06f1bae8bfc8991727188cb86,0,,Consciência e matéria: o dualismo de Bergson,"Coelho, Jonas Gonçalves",9788579831089,258,SciELO Books - Editora UNESP,PT,,PHILOSOPHY,book,
0dfe561a7078e65eb96dd354bfd2c120,0,,Consciousness and Action Control,T. Andrew Poehlman; Ezequiel Morsella,9782889193158,198,Frontiers Media SA,English,,action; Consciousness; unconscious processing; voluntary action; perception-and-action,book,
77be1ede4eaee0926dde0fd0bf46ff2d,0,,Consciousness and Subjectivity,"Miguens, Sofia; Preyer, Gerhard",9783110325843 9783110325133,363,De Gruyter,English,,,book,
